t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,25,0
0.01,4.905e-05,0.00981,0.981,-0,-0,-0,25,-2.60517762043774
0.02,0.000196049735569719,0.0195899471139439,0.977994711394387,-1.80957259920167e-08,-0.000245038789631067,-6.12926157247624e-05,25,-2.72131438735448
0.03,0.000440699431992058,0.0293399921705239,0.975004505658006,-7.21613291313109e-08,-0.000488885513200114,-0.000122203828222402,25,-2.83703464430833
0.04,0.000782700817177341,0.0390602848665325,0.972029269600857,-1.61866875611011e-07,-0.000731548732778999,-0.000182736943581176,25,-2.95233352666524
0.05,0.00122175711040132,0.0487509737782625,0.969068891172999,-2.86885639336693e-07,-0.000973036927889085,-0.000242895231018084,25,-3.0672065201201
0.06,0.00175757301115645,0.0584122063727642,0.966123259450166,-4.46894064591783e-07,-0.00121335849650209,-0.000302681923381719,25,-3.18164944278804
0.07,0.00238985468811507,0.0680441290189602,0.963192264619603,-6.41571729221949e-07,-0.00145252175602611,-0.000362100217647016,25,-3.29565842829423
0.08,0.00311830976820298,0.0776468869986213,0.96027579796611,-8.70601308330026e-07,-0.00169053494427747,-0.000421153275402036,25,-3.40922990979843
0.09,0.00394264732578211,0.0872206245172043,0.9573737518583,-1.1336685384732e-06,-0.00192740622043836,-0.000479844223326942,25,-3.52236060489513
0.1,0.0048625778719409,0.096765484714555,0.954486019735068,-1.43046218235432e-06,-0.00216314366600063,-0.000538176153665334,25,-3.6350475013345
0.11,0.00587781334389107,0.106281609675477,0.951612496092253,-1.76067399399933e-06,-0.00239775528569585,-0.000596152124688034,25,-3.74728784351298
0.12,0.00698806709446932,0.115769140440173,0.948753076469507,-2.12399868441302e-06,-0.00263124900841204,-0.000653775161149501,25,-3.8590791196865
0.13,0.00819305388174291,0.125228217014546,0.945907657437358,-2.52013388770543e-06,-0.00286363268809721,-0.000711048254737007,25,-3.97041904986201
0.14,0.00949248985871759,0.134658978380391,0.943076136584463,-2.94878012768127e-06,-0.00309491410464985,-0.000767974364512678,25,-4.08130557432654
0.15,0.0108860925631468,0.144061562505441,0.940258412505055,-3.40964078488503e-06,-0.00332510096479675,-0.000824556417348564,25,-4.19173684277564
